date,category,company,ticker,topic,channel_summary,channel_url,official_material,official_url,verification_status,correction,reflected_indicator,action
2026-06-18,Telegram,Oracle,ORCL,Oracle RPO and OCI demand,루팡 Invest 또는 공개 채널에서 Oracle RPO/OCI 수요 코멘트 확인,https://t.me/s/bornlupin,Oracle earnings release / investor presentation / conference call transcript,,공식자료 확인 필요,채널 코멘트는 수요 신호로만 사용하고 RPO 수치는 Oracle 공식자료로 재확인,rpo; cloud_revenue; iaas_revenue,공식자료 링크와 수치 확인 후 manual_quarterly_indicators.csv 업데이트
2026-06-18,Telegram,Dell Technologies,DELL,Dell AI server orders and backlog,Dell AI 서버 주문/수주잔고 관련 채널 코멘트 확인,https://t.me/s/bornlupin,Dell earnings release / investor presentation / conference call transcript,,공식자료 확인 필요,AI 서버 매출과 backlog는 Dell 공식 실적자료/콜에서 확인한 값만 차트 반영,ai_orders; ai_backlog; ai_server_revenue,공식자료 확인 후 company_report_series.csv 업데이트
2026-06-18,Telegram,Hewlett Packard Enterprise,HPE,HPE AI systems backlog,HPE AI systems orders/backlog 관련 채널 코멘트 확인,https://t.me/s/bornlupin,HPE earnings release / investor presentation / conference call transcript,,공식자료 확인 필요,orders/backlog/proxy 구분을 note에 명시,ai_orders; ai_backlog; ai_revenue,공식자료 확인 후 manual_quarterly_indicators.csv 업데이트
2026-06-18,Telegram,Broadcom,AVGO,Broadcom AI semiconductor revenue,Broadcom AI 반도체 매출 관련 채널 코멘트 확인,https://t.me/s/bornlupin,Broadcom earnings release / prepared remarks / conference call transcript,,공식자료 확인 필요,AI semiconductor와 non-AI semiconductor를 분리해서 입력,ai_semiconductor_revenue; non_ai_semiconductor_revenue,공식자료 확인 후 manual_quarterly_indicators.csv 업데이트
2026-06-18,News,AI infrastructure,,AI memory and component shortage,AI 서버 부품 병목과 메모리 부족 관련 뉴스/기업 코멘트 확인,,Company commentary / earnings call transcript,,공식자료 확인 필요,뉴스는 방향성 신호로 사용하고 수치화는 기업 코멘트 확인 후 반영,memory_bottleneck_comment,관련 기업 콜에서 DRAM/NAND/HBM/eSSD 코멘트 확인
2026-06-19,Telegram:카이에 de market,AI infrastructure,,Anthropic data center lease and AI infrastructure demand,Anthropic 데이터센터 직접 임대·Google 보증·Broadcom/Apollo/Blackstone AI XPV 플랫폼 관련 공개 프리뷰 글 확인,https://t.me/s/cahier_de_market,Anthropic/Google/Broadcom official materials or conference call transcript,,공식자료 확인 필요,채널 글은 AI 인프라 수요 신호로만 사용하고 투자 규모·용량 수치는 공식자료 또는 원문 기사로 재확인,capex; data_center_capacity; broadcom_ai_infrastructure,공식자료/원문 기사 확인 후 source_watchlist correction 업데이트
2026-06-19,Telegram:카이에 de market,TSMC,TSM,TSMC CoPoS and advanced packaging,TSMC 차세대 CoPoS·유리코어 기판·NVIDIA Feynman 후보 관련 공개 프리뷰 글 확인,https://t.me/s/cahier_de_market,TSMC technology symposium / official roadmap / company commentary,,공식자료 확인 필요,CoPoS 양산 시점·기술 구조는 공식 로드맵/원문 코멘트 기준으로 검증,advanced_packaging; ai_accelerator_supply_chain,공식자료 확인 후 반도체 공급망 코멘트로 반영
2026-06-19,Telegram:카이에 de market,Memory,,SK Hynix and Samsung hedge fund positioning,SK하이닉스·삼성 주가 급등 이후 헤지펀드 포지션 제한 관련 공개 프리뷰 글 확인,https://t.me/s/cahier_de_market,Prime broker / market news / company fundamentals,,공식자료 확인 필요,수급성 뉴스는 메모리 펀더멘털 지표와 분리하고 주가 변동 코멘트로만 관리,memory_market_comment,수급 뉴스와 실적/가격 데이터 혼동 방지
2026-06-19,Telegram:루팡 Invest,NVIDIA,NVDA,NVIDIA / Memory,"SemiAnalysis- Doug O'Laughlin AI는 새로운 산업혁명에 가깝고, 철도망을 먼저 건설한 뒤 경제 전체가 그 위에 연결됐던 것처럼 장기간의 인프라 구축 사이클이 이어질 것이라고 전망합니다. GPU 공급 역시 늘고 있지만 수요가 더 빠르게 증가하고 있습니다. 특히 H100급 구형 GPU의 임대 가격까지 연초 대비 약 40~50% 올랐다는 점을 강력한 수요 신호로 봅니다. NVIDIA는 여전히 AI에서 가장...",https://t.me/bornlupin/18634,Earnings release / IR deck / 10-Q or 10-K / conference call transcript,,공식자료 확인 필요,채널 글은 수요 신호로만 사용하고 숫자는 공식자료로 재확인,memory_comment,공식자료 링크와 수치 확인 후 관련 CSV 업데이트
2026-06-18,Telegram:루팡 Invest,Oracle,ORCL,Oracle,"미국, AI 데이터 센터의 전력망 연결 가속화 조치 시행 미국 규제 당국이 데이터 센터의 전력망 연결 속도를 높이는 동시에, 미국인들의 불만을 사고 있는 공공요금 급등을 억제하기 위한 역대 가장 큰 조치를 단행했습니다. 연방 에너지 규제 위원회(FERC)는 목요일, AI 붐을 저해할 우려가 있었던 병목 현상을 제거하기 위해 국가 전력망과 관련된 일련의 명령을 승인했습니다. 이번 조치의 목표는 전력 신청을 90일 이내에 처리하...",https://t.me/bornlupin/18631,Earnings release / IR deck / 10-Q or 10-K / conference call transcript,,공식자료 확인 필요,채널 글은 수요 신호로만 사용하고 숫자는 공식자료로 재확인,company_comment,공식자료 링크와 수치 확인 후 관련 CSV 업데이트
